Date,Open,High,Low,Close ,Adj Close ,Volume
17-Aug-20,"34,593.58","34,802.30","34,323.18","34,741.23","34,741.23",-
10-Aug-20,"34,353.47","34,628.44","34,025.82","34,478.01","34,478.01",-
3-Aug-20,"33,546.00","34,287.48","33,546.00","34,267.35","34,267.35",-
27-Jul-20,"32,862.02","33,432.37","32,762.01","33,393.39","33,393.39",-
20-Jul-20,"32,906.97","33,520.27","32,648.37","32,803.27","32,803.27",-
13-Jul-20,"32,809.32","33,048.02","31,834.48","32,906.97","32,906.97",-
6-Jul-20,"31,876.75","32,538.69","31,782.78","32,525.95","32,525.95",-
29-Jun-20,"30,683.80","32,260.31","30,569.79","31,876.75","31,876.75",-
22-Jun-20,"31,612.05","32,183.37","30,653.44","30,683.80","30,683.80",-
15-Jun-20,"30,947.19","32,172.18","30,180.19","31,612.05","31,612.05",-
8-Jun-20,"32,525.31","32,992.27","30,344.18","30,947.19","30,947.19",-
1-Jun-20,"30,874.82","32,721.45","30,830.77","32,525.31","32,525.31",-
25-May-20,"30,417.48","31,182.61","30,133.26","30,927.04","30,927.04",-
18-May-20,"28,934.88","30,213.70","28,934.88","30,016.30","30,016.30",-
11-May-20,"29,532.01","29,834.15","27,867.90","28,934.88","28,934.88",-
4-May-20,"28,325.47","29,683.81","28,153.96","29,670.68","29,670.68",-
27-Apr-20,"28,660.50","29,871.56","28,383.76","28,500.61","28,500.61",-
20-Apr-20,"28,442.27","28,742.26","27,317.81","28,483.89","28,483.89",-
13-Apr-20,"27,875.51","28,806.07","27,233.44","28,760.23","28,760.23",-
6-Apr-20,"25,607.46","28,217.95","25,607.46","27,938.93","27,938.93",-
30-Mar-20,"25,653.39","26,431.89","24,461.29","24,736.26","24,736.26",-
23-Mar-20,"22,988.33","26,441.08","21,955.54","25,500.57","25,500.57",-
16-Mar-20,"25,997.72","25,997.72","22,602.80","23,082.45","23,082.45",-
9-Mar-20,"29,008.90","29,088.23","24,901.34","27,142.67","27,142.67",-
2-Mar-20,"30,321.91","31,887.44","29,465.25","30,157.91","30,157.91",-
24-Feb-20,"33,256.49","33,256.49","29,146.00","30,125.07","30,125.07",-
17-Feb-20,"34,333.49","34,616.78","33,974.21","34,066.28","34,066.28",-
10-Feb-20,"33,753.42","34,474.00","33,753.42","34,428.34","34,428.34",-
3-Feb-20,"32,939.10","34,049.04","32,939.10","33,827.98","33,827.98",-
27-Jan-20,"32,937.25","33,519.29","32,742.02","32,838.19","32,838.19",-
20-Jan-20,"33,817.57","34,000.41","33,390.89","33,539.56","33,539.56",-
13-Jan-20,"33,237.15","33,918.32","33,237.15","33,917.38","33,917.38",-
6-Jan-20,"32,740.48","33,407.83","32,736.86","33,237.15","33,237.15",-
30-Dec-19,"32,976.82","33,143.52","32,691.62","32,943.33","32,943.33",-
23-Dec-19,"32,811.23","33,008.10","32,809.79","32,976.82","32,976.82",-
16-Dec-19,"32,419.49","32,847.49","32,419.49","32,811.23","32,811.23",-
9-Dec-19,"32,038.98","32,396.92","31,865.00","32,241.16","32,241.16",-
2-Dec-19,"32,044.66","32,092.21","31,298.38","32,038.98","32,038.98",-
25-Nov-19,"31,764.64","32,171.55","31,764.64","32,025.86","32,025.86",-
18-Nov-19,"31,728.69","31,824.78","31,487.94","31,679.22","31,679.22",-
11-Nov-19,"31,505.00","31,752.02","31,330.33","31,751.88","31,751.88",-
4-Nov-19,"31,267.23","31,552.10","31,234.12","31,505.02","31,505.02",-
28-Oct-19,"30,926.62","31,267.21","30,797.48","31,267.18","31,267.18",-
21-Oct-19,"30,432.73","30,888.79","30,432.73","30,836.22","30,836.22",-
14-Oct-19,"30,247.28","30,648.03","30,189.31","30,432.73","30,432.73",-
7-Oct-19,"30,092.89","30,501.10","29,504.09","30,278.03","30,278.03",-
30-Sep-19,"30,204.05","30,421.58","29,131.48","30,092.89","30,092.89",-
23-Sep-19,"30,521.38","30,754.31","30,043.67","30,204.05","30,204.05",-
16-Sep-19,"30,764.50","30,921.28","30,480.68","30,609.52","30,609.52",-
